Name           Prompt     t90    Afglw90    dt90      Afglw      dttot
Event814     1.46e+00   15.32   3.16e+00   16.60   3.01e+04  116000.00 
Event840     4.92e+00   32.68   5.09e+02   34.00   1.19e+05  118000.00 
Event843     2.17e-02    7.97   1.63e+01   10.00   2.18e+03  116000.00 
Event856     4.32e-28    3.82   2.93e-10    4.71   4.36e+02  107000.00 
Event883     1.86e-01    7.95   1.74e-02    8.57   2.42e+02  133000.00 
Event884     3.26e-06    7.10   3.15e-09    7.36   4.23e+02  141000.00 
Event911     4.55e-01   55.53   2.61e+03   63.90   1.56e+04  113000.00 
Event918     2.44e-03    7.13   2.16e-07    7.36   9.85e+02  133000.00 
Event920     3.42e-01    6.42   6.55e-02    7.64   5.99e+02  125000.00 
Event926     7.88e-06   22.01   5.34e-06   25.70   2.31e+03  136000.00 
Event936     2.45e+00   97.44   1.68e+03  110.00   7.67e+03  130000.00 
Event944     1.31e-03  107.46   2.57e-02  144.00   5.69e+04  114000.00 
Event96      9.74e-01   96.59   1.61e+03  107.00   1.13e+05  137000.00 
Event960     1.65e-01   13.08   4.11e-02   14.70   1.69e+02  124000.00 
Event980     1.86e-03   50.43   6.98e-03   58.90   2.58e+04  119000.00 
