Name           Prompt     t90    Afglw90    dt90      Afglw      dttot
Event367     6.43e-02    1.85   4.32e-07    1.93   4.16e+01  112000.00 
Event368     1.65e+00   65.58   5.56e+03   76.10   2.47e+04  128000.00 
Event370     3.33e-01   30.10   2.27e-01   32.80   2.50e+03  131000.00 
Event371     1.07e-02   18.83   7.04e-05   25.90   1.14e+03  128000.00 
Event373     2.20e+00   87.02   1.69e+03   94.50   8.66e+03  127000.00 
Event380     5.83e+00  314.78   5.27e+04  364.00   1.27e+05  122000.00 
Event386     4.05e-04    2.83   1.80e-01    3.16   2.74e+02  115000.00 
Event391     1.89e-02   82.58   4.35e+01   99.90   1.50e+04  131000.00 
Event397     0.00e+00    4.53   1.63e-08    4.71   2.78e+04  121000.00 
Event398     9.76e-01  322.45   1.13e+04  371.00   3.19e+04  112000.00 
Event404     2.21e-04   79.09   6.82e-01   90.50   2.23e+04  132000.00 
Event405     6.01e-05    2.12   3.27e-09    2.47   1.39e+03  131000.00 
Event410     5.93e-12    5.18   1.49e-08    7.36   3.79e+03  141000.00 
Event416     1.45e-01    9.77   1.36e+00   11.50   5.37e+03  137000.00 
Event417     8.38e-01    8.97   2.29e+01    9.85   1.50e+04  114000.00 
Event438     1.91e-04   53.49   5.53e-02   65.10   1.77e+04  119000.00 
Event439     1.43e+00   51.76   1.35e+01   53.20   5.74e+04  117000.00 
Event445     9.73e+00  100.61   1.85e+03  124.00   6.78e+03  147000.00 
Event446     3.41e-01   26.04   1.89e+03   29.80   2.29e+04  111000.00 
Event447     1.20e+00   92.35   3.37e+03   99.60   9.58e+03  110000.00 
Event450     4.88e+00  113.25   6.70e+03  137.00   3.72e+04  115000.00 
Event452     2.82e-05    9.53   1.61e-06   11.50   7.89e+03  134000.00 
Event454     1.68e+00  157.68   1.78e+04  174.00   8.65e+04  123000.00 
Event456     2.40e-04    5.70   5.09e-10    5.89   3.24e+02  112000.00 
Event457     5.71e-05   20.37   2.98e+00   23.30   1.07e+04  134000.00 
Event458     4.93e+00  353.39   9.21e+04  444.00   2.62e+05  139000.00 
Event460     0.00e+00    3.33   2.34e-12    3.77   6.32e+02  141000.00 
Event471     1.01e+01   21.93   4.12e+02   24.20   4.53e+04  112000.00 
Event480     3.70e-03   19.77   9.65e-06   21.30   2.15e+03  125000.00 
Event481     7.55e-01   19.57   6.78e+01   19.70   5.72e+03  118000.00 
Event482     5.32e-01   44.42   2.59e+02   45.70   4.85e+03  123000.00 
Event485     8.61e-02    9.72   1.13e+02   11.80   6.95e+03  110000.00 
Event487     6.62e-02    7.01   1.93e-04    8.16   7.19e+02  120000.00 
Event489     1.65e-01   63.01   1.08e+03   68.90   6.12e+03  134000.00 
Event490     2.54e-01   81.24   1.69e+03   89.70   9.17e+04  119000.00 
Event496     4.09e-16   18.20   7.10e-02   21.50   3.55e+03  127000.00 
Event498     1.60e-02  126.88   7.93e+00  136.00   2.41e+04  139000.00 
Event501     1.15e+01  410.74   8.37e+04  476.00   1.29e+05  122000.00 
Event503     6.36e-02   13.49   3.55e-03   16.50   1.91e+02  132000.00 
